STATION,NAME,DATE,PRCP,MONTH,YEAR
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-23,0.31,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-24,0.02,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-25,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-26,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-27,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-28,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-29,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-30,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-01,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-02,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-03,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-04,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-05,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-06,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-07,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-08,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-09,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-10,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-11,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-12,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-14,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-16,0.06,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-17,0.01,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-18,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-19,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-20,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-21,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-22,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-23,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-24,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-25,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-26,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-27,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-28,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-29,0.01,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-12-30,0.0,12,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1992-01-01,0.2,1,1992
IN020040900,"MADRAS MINAMBAKKAM, IN",1992-01-02,1.33,1,1992
